# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface

💫 斗鱼,#genre#
电影_小鬼头,https://live.metshop.top/huya/11352963
电影_八点档,https://live.metshop.top/huya/880261
电影_蜘蛛侠,https://live.metshop.top/huya/21059599
电影_贺岁片,https://live.metshop.top/huya/11601986
电影_功夫片,https://live.metshop.top/huya/11352941
电影_黑帮片,https://live.metshop.top/huya/11336719
电影_丧尸片,https://live.metshop.top/huya/21059578
电影_灾难片,https://live.metshop.top/huya/11602075
电影_谍战片,https://live.metshop.top/huya/21059587
电影_战争片,https://live.metshop.top/huya/21059574
电影_犯罪片,https://live.metshop.top/huya/11352974
电影_古装片,https://live.metshop.top/huya/11336590
电影_高分动作,https://live.metshop.top/huya/11352884
电影_动作电影,https://live.metshop.top/huya/11602077
电影_搞笑喜剧,https://live.metshop.top/huya/11342423
电影_喜剧专场,https://live.metshop.top/huya/11602044
电影_欢笑影院,https://live.metshop.top/huya/11352894
电影_不挤影院,https://live.metshop.top/huya/11352897
电影_国产悬疑,https://live.metshop.top/huya/11342395
电影_快意江湖,https://live.metshop.top/huya/11342435
电影_黑帮斗争,https://live.metshop.top/huya/11342419
电影_嫣然影厅,https://live.metshop.top/huya/11601977
电影_许氏三杰,https://live.metshop.top/huya/11602033
电影_经典港片,https://live.metshop.top/huya/11352965
电影_镖行天下,https://live.metshop.top/huya/11352969
电影_高能反转,https://live.metshop.top/huya/11352887
电影_喜乐影院,https://live.metshop.top/huya/21059580
电影_蘑菇影厅,https://live.metshop.top/huya/11601981
电影_搞笑恐怖,https://live.metshop.top/huya/11601960
电影_死神来了,https://live.metshop.top/huya/11352903
电影_变形金刚,https://live.metshop.top/huya/21059596
电影_怪兽系列,https://live.metshop.top/huya/21059554
剧集_老三国,https://live.metshop.top/huya/11602081
剧集_新三国,https://live.metshop.top/huya/11352944
剧集_新水浒,https://live.metshop.top/huya/11342384
剧集_纪晓岚,https://live.metshop.top/huya/11342396
剧集_庆余年,https://live.metshop.top/huya/11352960
电影_德华,http://111.67.193.2:35455/huya/11342424
电影_发哥,http://111.67.193.2:35455/huya/11342387
电影_战争,http://111.67.193.2:35455/huya/21059574
国产.悬疑,http://111.67.193.2:35455/huya/11342395
电影_漫威,http://111.67.193.2:35455/huya/11602034
搞笑恐怖,http://111.67.193.2:35455/huya/11601960
经典港片,http://111.67.193.2:35455/huya/11352965
电影_宇宙,http://111.67.193.2:35455/huya/11342428
电影_怪兽,http://111.67.193.2:35455/huya/21059577
电影_盗墓,http://111.67.193.2:35455/huya/21059552
电影_黑帮,http://111.67.193.2:35455/huya/11336719
电影_谍战,http://111.67.193.2:35455/huya/21059585
电影_贺岁,http://111.67.193.2:35455/huya/11601986
电影_救援,http://111.67.193.2:35455/huya/21059594
电影_海盗,http://111.67.193.2:35455/huya/21059595
电影_金宝,http://111.67.193.2:35455/huya/11279251
电影_枪战,http://111.67.193.2:35455/huya/21059579
电影_罪犯,http://111.67.193.2:35455/huya/11352962
电影_连杰,http://111.67.193.2:35455/huya/11342390
电影_死神,http://111.67.193.2:35455/huya/11352903
电影_镖行,http://111.67.193.2:35455/huya/11352969
电影_嫣然,http://111.67.193.2:35455/huya/11601977
电影_喜乐,http://111.67.193.2:35455/huya/21059580
电影_高分,http://111.67.193.2:35455/huya/11352884
电影_家辉,http://111.67.193.2:35455/huya/11342429
电影_喜剧,http://111.67.193.2:35455/huya/11352877
电影_国产,http://111.67.193.2:35455/huya/11352973
电影_港片,http://111.67.193.2:35455/huya/11602043
电影_贺岁,http://111.67.193.2:35455/huya/11601971
电影_战争,http://111.67.193.2:35455/huya/21059592
电影,王晶,http://111.67.193.2:35455/huya/11602058
电影_黄渤,http://111.67.193.2:35455/huya/11352876
电影_沈腾,http://111.67.193.2:35455/huya/11601968
电影_星爷,http://111.67.193.2:35455/huya/11342412
性感大妈, https://isus.cc/php/huya.php?id=11602075
